ID,DateTimeUTC,TapType,StopId,CompanyId,BusID,PAN
1,"02-12-2019 01:01:01",ON,Stop1,c1,Bus17,122000000000003
2,"02-12-2019 01:11:01",OFF,Stop2,c1,Bus17,122000000000003
3,"02-12-2019 01:16:01",ON,Stop1,c2,Bus18,34343434343434
4,"02-12-2019 01:17:01",OFF,Stop1,c2,Bus18,34343434343434
5,"02-12-2019 01:19:01",ON,Stop1,c3,Bus19,5555555555554444
6,"02-12-2019 01:19:31",ON,Stop1,c1,Bus17,122000000000003
7,"02-12-2019 01:29:31",ON,Stop2,c2,Bus18,5019717010103742
8,"02-12-2019 01:34:31",ON,Stop1,c3,Bus20,6011000400000000
9,"02-12-2019 01:35:31",OFF,Stop1,c2,Bus18,5019717010103742
10,"02-12-2019 01:37:31",OFF,Stop3,c1,Bus17,122000000000003
11,"02-12-2019 01:38:16",ON,Stop1,c1,Bus17,122000000000003
12,"02-12-2019 01:48:16",OFF,Stop2,c1,Bus17,122000000000003
13,"02-12-2019 01:53:16",ON,Stop1,c2,Bus18,34343434343434
14,"02-12-2019 01:54:16",OFF,Stop1,c2,Bus18,34343434343434
15,"02-12-2019 01:56:16",ON,Stop1,c3,Bus19,5555555555554444
16,"02-12-2019 01:56:46",ON,Stop1,c1,Bus17,122000000000003
17,"02-12-2019 02:06:46",ON,Stop2,c2,Bus18,5019717010103742
18,"02-12-2019 02:11:46",ON,Stop1,c3,Bus20,6011000400000000
19,"02-12-2019 02:12:46",OFF,Stop1,c2,Bus18,5019717010103742
20,"02-12-2019 02:14:46",OFF,Stop3,c1,Bus17,122000000000003
21,"02-12-2019 02:15:31",ON,Stop1,c1,Bus17,122000000000003
22,"02-12-2019 02:25:31",OFF,Stop2,c1,Bus17,122000000000003
23,"02-12-2019 02:30:31",ON,Stop1,c2,Bus18,34343434343434
24,"02-12-2019 02:31:31",OFF,Stop1,c2,Bus18,34343434343434
25,"02-12-2019 02:33:31",ON,Stop1,c3,Bus19,5555555555554444
26,"02-12-2019 02:34:01",ON,Stop1,c1,Bus17,122000000000003
27,"02-12-2019 02:44:01",ON,Stop2,c2,Bus18,5019717010103742
28,"02-12-2019 02:49:01",ON,Stop1,c3,Bus20,6011000400000000
29,"02-12-2019 02:50:01",OFF,Stop1,c2,Bus18,5019717010103742
30,"02-12-2019 02:52:01",OFF,Stop3,c1,Bus17,122000000000003
31,"02-12-2019 02:52:46",ON,Stop1,c1,Bus17,122000000000003
32,"02-12-2019 03:02:46",OFF,Stop2,c1,Bus17,122000000000003
33,"02-12-2019 03:07:46",ON,Stop1,c2,Bus18,34343434343434
34,"02-12-2019 03:08:46",OFF,Stop1,c2,Bus18,34343434343434
35,"02-12-2019 03:10:46",ON,Stop1,c3,Bus19,5555555555554444
36,"02-12-2019 03:11:16",ON,Stop1,c1,Bus17,122000000000003
37,"02-12-2019 03:21:16",ON,Stop2,c2,Bus18,5019717010103742
38,"02-12-2019 03:26:16",ON,Stop1,c3,Bus20,6011000400000000
39,"02-12-2019 03:27:16",OFF,Stop1,c2,Bus18,5019717010103742
40,"02-12-2019 03:29:16",OFF,Stop3,c1,Bus17,122000000000003
41,"02-12-2019 03:30:01",ON,Stop1,c1,Bus17,122000000000003
42,"02-12-2019 03:40:01",OFF,Stop2,c1,Bus17,122000000000003
43,"02-12-2019 03:45:01",ON,Stop1,c2,Bus18,34343434343434
44,"02-12-2019 03:46:01",OFF,Stop1,c2,Bus18,34343434343434
45,"02-12-2019 03:48:01",ON,Stop1,c3,Bus19,5555555555554444
46,"02-12-2019 03:48:31",ON,Stop1,c1,Bus17,122000000000003
47,"02-12-2019 03:58:31",ON,Stop2,c2,Bus18,5019717010103742
48,"02-12-2019 04:03:31",ON,Stop1,c3,Bus20,6011000400000000
49,"02-12-2019 04:04:31",OFF,Stop1,c2,Bus18,5019717010103742
50,"02-12-2019 04:06:31",OFF,Stop3,c1,Bus17,122000000000003
51,"02-12-2019 04:07:16",ON,Stop1,c1,Bus17,122000000000003
52,"02-12-2019 04:17:16",OFF,Stop2,c1,Bus17,122000000000003
53,"02-12-2019 04:22:16",ON,Stop1,c2,Bus18,34343434343434
54,"02-12-2019 04:23:16",OFF,Stop1,c2,Bus18,34343434343434
55,"02-12-2019 04:25:16",ON,Stop1,c3,Bus19,5555555555554444
56,"02-12-2019 04:25:46",ON,Stop1,c1,Bus17,122000000000003
57,"02-12-2019 04:35:46",ON,Stop2,c2,Bus18,5019717010103742
